SECID,BOARDID,SHORTNAME,PREVPRICE,LOTSIZE,FACEVALUE,STATUS,BOARDNAME,DECIMALS,SECNAME,REMARKS,MARKETCODE,INSTRID,SECTORID,MINSTEP,PREVWAPRICE,FACEUNIT,PREVDATE,ISSUESIZE,ISIN,LATNAME,REGNUMBER,PREVLEGALCLOSEPRICE,CURRENCYID,SECTYPE,LISTLEVEL,SETTLEDATE
AFKS,TQBR,Система ао,15.158,100,0.09,A,Т+: Акции и ДР - безадрес.,3,"АФК ""Система"" ПАО ао",,FNDT,EQIN,,0.001,15.25,SUR,2024-10-17,9650000000,RU000A0DQZE3,AFK Sistema,1-05-01669-A,15.225,SUR,1,1,2024-10-21
AFLT,TQBR,Аэрофлот,56.25,10,1.0,A,Т+: Акции и ДР - безадрес.,2,Аэрофлот-росс.авиалин(ПАО)ао,,FNDT,EQIN,,0.01,56.57,SUR,2024-10-17,3975771215,RU0009062285,Aeroflot,1-01-00010-A,56.25,SUR,1,1,2024-10-21
AGRO,TQBR,AGRO-гдр,1212.4,1,0.0,A,Т+: Акции и ДР - безадрес.,1,ГДР ROS AGRO PLC ORD SHS,,FNDT,EQIN,,0.2,1217.8,USD,2024-10-17,0,US7496552057,GDR ROS AGRO PLC ORD SHS,,1214.0,SUR,D,1,2024-10-21
ALRS,TQBR,АЛРОСА ао,54.15,10,0.5,A,Т+: Акции и ДР - безадрес.,2,АЛРОСА ПАО ао,,FNDT,EQIN,,0.01,54.42,SUR,2024-10-17,7364965630,RU0007252813,ALROSA ao,1-03-40046-N,54.15,SUR,1,1,2024-10-21
ASTR,TQBR,Астра ао,537.15,1,0.05,A,Т+: Акции и ДР - безадрес.,2,Группа Астра ао,,FNDT,EQIN,,0.05,543.5,SUR,2024-10-17,210000000,RU000A106T36,Astra Group,1-01-01286-G,540.8,SUR,1,1,2024-10-21
BSPB,TQBR,БСП ао,362.0,10,1.0,A,Т+: Акции и ДР - безадрес.,2,"ПАО ""Банк ""Санкт-Петербург"" ао",,FNDT,EQIN,,0.01,364.59,SUR,2024-10-17,457544031,RU0009100945,BSP,10300436B,363.3,SUR,1,1,2024-10-21
CBOM,TQBR,МКБ ао,6.324,100,1.0,A,Т+: Акции и ДР - безадрес.,3,"""МКБ"" ПАО ао",,FNDT,EQIN,,0.001,6.253,SUR,2024-10-17,33429709866,RU000A0JUG31,MKB ao,10101978B,6.283,SUR,1,1,2024-10-21
CHMF,TQBR,СевСт-ао,1191.0,1,0.01,A,Т+: Акции и ДР - безадрес.,1,Северсталь (ПАО)ао,,FNDT,EQIN,,0.2,1207.8,SUR,2024-10-17,837718660,RU0009046510,Severstal - ao,1-02-00143-A,1197.0,SUR,1,1,2024-10-21
ENPG,TQBR,ЭН+ГРУП ао,335.85,1,7e-05,A,Т+: Акции и ДР - безадрес.,2,МКПАО ЭН+ ГРУП ао,,FNDT,EQIN,,0.05,337.3,USD,2024-10-17,638848896,RU000A100K72,EN+ GROUP IPJSC ORD SHS,1-01-16625-A,336.95,SUR,1,1,2024-10-21
FEES,TQBR,Россети,0.08234,10000,0.5,A,Т+: Акции и ДР - безадрес.,5,"""ФСК - Россети"" ПАО",,FNDT,EQIN,,2e-05,0.0826,SUR,2024-10-17,2113460101477,RU000A0JPNN9,FGC ROSSETI,1-01-65018-D,0.0823,SUR,1,1,2024-10-21
FIVE,TQBR,FIVE-гдр,2798.0,1,0.0,N,Т+: Акции и ДР - безадрес.,1,ГДР X5 RetailGroup N.V.ORD SHS,,FNDT,EQIN,,0.5,2810.5,USD,2024-10-17,0,US98387E2054,GDR X5 RetailGroup N.V.ORD SHS,,2792.5,SUR,D,1,2024-10-21
FLOT,TQBR,Совкомфлот,98.77,10,1.0,A,Т+: Акции и ДР - безадрес.,2,Совкомфлот ао,,FNDT,EQIN,,0.01,99.22,SUR,2024-10-17,2374993901,RU000A0JXNU8,Sovcomflot,1-01-10613-A,98.71,SUR,1,1,2024-10-21
GAZP,TQBR,ГАЗПРОМ ао,136.05,10,5.0,A,Т+: Акции и ДР - безадрес.,2,"""Газпром"" (ПАО) ао",,FNDT,EQIN,,0.01,136.63,SUR,2024-10-17,23673512900,RU0007661625,Gazprom,1-02-00028-A,136.61,SUR,1,1,2024-10-21
GMKN,TQBR,ГМКНорНик,104.2,10,0.01,A,Т+: Акции и ДР - безадрес.,2,"ГМК ""Нор.Никель"" ПАО ао",,FNDT,EQIN,,0.02,105.26,SUR,2024-10-17,15286339700,RU0007288411,NorNickel GMK,1-01-40155-F,104.5,SUR,1,1,2024-10-21
HYDR,TQBR,РусГидро,0.5308,1000,1.0,A,Т+: Акции и ДР - безадрес.,4,"ПАО ""РусГидро""",,FNDT,EQIN,,0.0001,0.5305,SUR,2024-10-17,444793377038,RU000A0JPKH7,RusGidro,1-01-55038-E,0.5295,SUR,1,1,2024-10-21
IRAO,TQBR,ИнтерРАОао,3.8555,100,2.809767,A,Т+: Акции и ДР - безадрес.,4,"""Интер РАО"" ПАО ао",,FNDT,EQIN,,0.0005,3.866,SUR,2024-10-17,104400000000,RU000A0JPNM1,Inter RAO ao,1-04-33498-E,3.852,SUR,1,1,2024-10-21
LEAS,TQBR,Европлан,659.6,1,1.0,A,Т+: Акции и ДР - безадрес.,1,ПАО «ЛК «Европлан»,,FNDT,EQIN,,0.1,674.9,SUR,2024-10-17,120000000,RU000A0ZZFS9,Europlan,1-01-16419-A,673.4,SUR,1,1,2024-10-21
LKOH,TQBR,ЛУКОЙЛ,6931.5,1,0.025,A,Т+: Акции и ДР - безадрес.,1,НК ЛУКОЙЛ (ПАО) - ао,,FNDT,EQIN,,0.5,6961.0,SUR,2024-10-17,692865762,RU0009024277,LUKOIL,1-01-00077-A,6927.5,SUR,1,1,2024-10-21
MAGN,TQBR,ММК,40.655,10,1.0,A,Т+: Акции и ДР - безадрес.,3,"""Магнитогорск.мет.комб"" ПАО ао",,FNDT,EQIN,,0.005,41.18,SUR,2024-10-17,11174330000,RU0009084396,MMK,1-03-00078-A,40.825,SUR,1,1,2024-10-21
MGNT,TQBR,Магнит ао,4882.5,1,0.01,A,Т+: Акции и ДР - безадрес.,1,"""Магнит"" ПАО ао",,FNDT,EQIN,,0.5,4917.5,SUR,2024-10-17,101911355,RU000A0JKQU8,Magnit,1-01-60525-P,4877.0,SUR,1,3,2024-10-21
MOEX,TQBR,МосБиржа,206.41,10,1.0,A,Т+: Акции и ДР - безадрес.,2,ПАО Московская Биржа,,FNDT,EQIN,,0.01,207.46,SUR,2024-10-17,2276401458,RU000A0JR4A1,MoscowExchange,1-05-08443-H,206.58,SUR,1,1,2024-10-21
MSNG,TQBR,+МосЭнерго,2.381,1000,1.0,A,Т+: Акции и ДР - безадрес.,4,МосЭнерго акции обыкн.,,FNDT,EQIN,,0.0005,2.4165,SUR,2024-10-17,39749359700,RU0008958863,MosEnrg,1-01-00085-A,2.3875,SUR,1,1,2024-10-21
MTLR,TQBR,Мечел ао,106.99,1,10.0,A,Т+: Акции и ДР - безадрес.,2,Мечел ПАО ао,,FNDT,EQIN,,0.01,107.58,SUR,2024-10-17,416270745,RU000A0DKXV5,Mechel,1-01-55005-E,107.57,SUR,1,1,2024-10-21
MTLRP,TQBR,Мечел ап,108.4,10,10.0,A,Т+: Акции и ДР - безадрес.,2,Мечел ПАО ап,,FNDT,EQIN,,0.05,109.9,SUR,2024-10-17,138756915,RU000A0JPV70,Mechel pref.,2-01-55005-E,109.35,SUR,2,1,2024-10-21
MTSS,TQBR,МТС-ао,204.1,10,0.1,A,Т+: Акции и ДР - безадрес.,2,Мобильные ТелеСистемы ПАО ао,,FNDT,EQIN,,0.05,205.35,SUR,2024-10-17,1998381575,RU0007775219,MTS,1-01-04715-A,205.3,SUR,1,1,2024-10-21
NLMK,TQBR,НЛМК ао,133.84,10,1.0,A,Т+: Акции и ДР - безадрес.,2,"ПАО ""НЛМК"" ао",,FNDT,EQIN,,0.02,135.64,SUR,2024-10-17,5993227240,RU0009046452,NLMK ao,1-01-00102-A,134.12,SUR,1,1,2024-10-21
NVTK,TQBR,Новатэк ао,958.6,1,0.1,A,Т+: Акции и ДР - безадрес.,1,"ПАО ""НОВАТЭК"" ао",,FNDT,EQIN,,0.2,963.0,SUR,2024-10-17,3036306000,RU000A0DKVS5,NOVATEK,1-02-00268-E,961.6,SUR,1,1,2024-10-21
OZON,TQBR,OZON-адр,3054.0,1,0.0,A,Т+: Акции и ДР - безадрес.,1,АДР Ozon Holdings PLC ORD SHS,,FNDT,EQIN,,0.5,3060.5,USD,2024-10-17,0,US69269L1044,ADS Ozon Holdings PLC ORD SHS,,3055.0,SUR,D,1,2024-10-21
PHOR,TQBR,ФосАгро ао,5416.0,1,2.5,A,Т+: Акции и ДР - безадрес.,0,ФосАгро ПАО ао,,FNDT,EQIN,,1.0,5428.0,SUR,2024-10-17,129500000,RU000A0JRKT8,PhosAgro ao,1-02-06556-A,5419.0,SUR,1,1,2024-10-21
PIKK,TQBR,ПИК ао,636.6,1,62.5,A,Т+: Акции и ДР - безадрес.,1,ПИК СЗ (ПАО) ао,,FNDT,EQIN,,0.1,637.9,SUR,2024-10-17,660497344,RU000A0JP7J7,PIK SZ,1-02-01556-A,637.4,SUR,1,1,2024-10-21
PLZL,TQBR,Полюс,13526.5,1,1.0,A,Т+: Акции и ДР - безадрес.,1,Полюс ПАО ао,,FNDT,EQIN,,0.5,13584.0,SUR,2024-10-17,136069400,RU000A0JNAA8,Polus,1-01-55192-E,13535.0,SUR,1,1,2024-10-21
POSI,TQBR,iПозитив,2541.8,1,0.5,A,Т+: Акции и ДР - безадрес.,1,Группа Позитив ао,,FNDT,EQIN,,0.2,2559.2,SUR,2024-10-17,66000000,RU000A103X66,PJSC Positive Group,1-01-85307-H,2559.0,SUR,1,1,2024-10-21
ROSN,TQBR,Роснефть,486.95,1,0.01,A,Т+: Акции и ДР - безадрес.,2,ПАО НК Роснефть,,FNDT,EQIN,,0.05,490.3,SUR,2024-10-17,10598177817,RU000A0J2Q06,Rosneft,1-02-00122-A,486.15,SUR,1,1,2024-10-21
RTKM,TQBR,Ростел -ао,72.54,10,0.0025,A,Т+: Акции и ДР - безадрес.,2,Ростелеком (ПАО) ао.,,FNDT,EQIN,,0.01,73.51,SUR,2024-10-17,3282997929,RU0008943394,Rostelecom,1-01-00124-A,72.77,SUR,1,1,2024-10-21
RUAL,TQBR,РУСАЛ ао,34.42,10,0.656517,A,Т+: Акции и ДР - безадрес.,3,РУСАЛ ОК МКПАО ао,,FNDT,EQIN,,0.005,34.47,SUR,2024-10-17,15193014862,RU000A1025V3,RUSAL ao,1-01-16677-A,34.39,SUR,1,1,2024-10-21
SBER,TQBR,Сбербанк,256.57,10,3.0,A,Т+: Акции и ДР - безадрес.,2,Сбербанк России ПАО ао,,FNDT,EQIN,,0.01,258.2,SUR,2024-10-17,21586948000,RU0009029540,Sberbank,10301481B,257.25,SUR,1,1,2024-10-21
SBERP,TQBR,Сбербанк-п,256.91,10,3.0,A,Т+: Акции и ДР - безадрес.,2,Сбербанк России ПАО ап,,FNDT,EQIN,,0.01,258.32,SUR,2024-10-17,1000000000,RU0009029557,Sberbank (pref),20301481B,257.5,SUR,2,1,2024-10-21
SELG,TQBR,Селигдар,51.07,10,1.0,A,Т+: Акции и ДР - безадрес.,2,"ПАО ""Селигдар""  ао",,FNDT,EQIN,,0.01,51.64,SUR,2024-10-17,1030000000,RU000A0JPR50,Seligdar,1-01-32694-F,51.6,SUR,1,1,2024-10-21
SMLT,TQBR,Самолет ао,1833.0,1,25.0,A,Т+: Акции и ДР - безадрес.,1,ГК Самолет ао,,FNDT,EQIN,,0.5,1856.5,SUR,2024-10-17,61579358,RU000A0ZZG02,Samolet,1-01-16493-A,1842.5,SUR,1,1,2024-10-21
SNGS,TQBR,Сургнфгз,25.5,100,1.0,A,Т+: Акции и ДР - безадрес.,3,Сургутнефтегаз ПАО акции об.,,FNDT,EQIN,,0.005,25.75,SUR,2024-10-17,35725994705,RU0008926258,Surgut,1-01-00155-A,25.715,SUR,1,2,2024-10-21
SNGSP,TQBR,Сургнфгз-п,56.46,10,1.0,A,Т+: Акции и ДР - безадрес.,3,Сургутнефтегаз ПАО ап,,FNDT,EQIN,,0.005,56.79,SUR,2024-10-17,7701998235,RU0009029524,Surgut-pref,2-01-00155-A,56.49,SUR,2,2,2024-10-21
TATN,TQBR,Татнфт 3ао,593.0,1,1.0,A,Т+: Акции и ДР - безадрес.,1,"ПАО ""Татнефть"" ао",,FNDT,EQIN,,0.1,596.2,SUR,2024-10-17,2178690700,RU0009033591,Tatneft-3,1-03-00161-A,593.6,SUR,1,1,2024-10-21
TATNP,TQBR,Татнфт 3ап,592.2,1,1.0,A,Т+: Акции и ДР - безадрес.,1,"ПАО ""Татнефть"" ап 3 вып.",,FNDT,EQIN,,0.1,594.6,SUR,2024-10-17,147508500,RU0006944147,Tatneft (pref),2-03-00161-A,593.3,SUR,2,1,2024-10-21
TCSG,TQBR,ТКСХолд ао,2577.5,1,3.639384,A,Т+: Акции и ДР - безадрес.,1,ТКС Холдинг МКПАО ао,,FNDT,EQIN,,0.5,2598.0,SUR,2024-10-17,199305492,RU000A107UL4,IPJSC TCS Holding,1-01-16784-A,2593.5,SUR,1,1,2024-10-21
TRNFP,TQBR,Транснф ап,1351.5,1,0.01,A,Т+: Акции и ДР - безадрес.,1,Транснефть ПАО акц.пр.,,FNDT,EQIN,,0.5,1359.0,SUR,2024-10-17,155487500,RU0009091573,Transneft (pref),2-01-00206-A,1355.5,SUR,2,1,2024-10-21
UPRO,TQBR,Юнипро ао,1.705,1000,0.4,A,Т+: Акции и ДР - безадрес.,3,Юнипро ПАО ао,,FNDT,EQIN,,0.001,1.712,SUR,2024-10-17,63048706145,RU000A0JNGA5,Unipro PAO ao,1-02-65104-D,1.705,SUR,1,1,2024-10-21
VKCO,TQBR,"МКПАО ""ВК""",340.0,1,0.000450595,A,Т+: Акции и ДР - безадрес.,1,Международная компания ПАО ВК,,FNDT,EQIN,,0.2,344.4,SUR,2024-10-17,227874940,RU000A106YF0,VK International Public JS Com,1-01-16753-A,341.8,SUR,1,1,2024-10-21
VTBR,TQBR,ВТБ ао,85.09,1,50.0,A,Т+: Акции и ДР - безадрес.,2,ао ПАО Банк ВТБ,,FNDT,EQIN,,0.01,85.37,SUR,2024-10-17,5369933893,RU000A0JP5V6,VTB,10401000B,85.17,SUR,1,1,2024-10-21
YDEX,TQBR,ЯНДЕКС,3983.5,1,0.4,A,Т+: Акции и ДР - безадрес.,1,МКПАО ЯНДЕКС,,FNDT,EQIN,,0.5,4019.0,SUR,2024-10-17,379453795,RU000A107T19,YANDEX,1-01-16777-A,4005.0,SUR,1,1,2024-10-21
